Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Lethrinops macrochir,,Cichlidae,demersal,13.0 TL,3.2,endemic,Malawi
Lethrinops marginatus,Lethrinops rounded head,Cichlidae,demersal,11.0 SL,3.5,endemic,Malawi
Lethrinops micrentodon,,Cichlidae,demersal,11.5 TL,2,endemic,Malawi
Lethrinops microdon,,Cichlidae,demersal,13.1 SL,2,endemic,Malawi
Lethrinops microstoma,Littletooth sandeater,Cichlidae,demersal,14.5 TL,3.5,endemic,Malawi
Lethrinops mylodon,,Cichlidae,demersal,20.2 SL,3.4,endemic,Malawi
Lethrinops oculatus,,Cichlidae,benthopelagic,13.5 TL,3.2,endemic,Malawi
Lethrinops parvidens,Lethrinops red flush,Cichlidae,demersal,14.0 SL,3.3,endemic,Malawi
Lethrinops stridei,,Cichlidae,demersal,13.0 SL,2,endemic,Malawi
Lethrinops turneri,,Cichlidae,benthopelagic,9.4 SL,3.2,endemic,Malawi
Lichnochromis acuticeps,Malawi gar,Cichlidae,demersal,14.0 TL,3.4,endemic,Malawi
Maylandia aurora,,Cichlidae,demersal,8.7 SL,2,native,Malawi
Maylandia barlowi,,Cichlidae,demersal,8.1 SL,3.4,endemic,Malawi
Maylandia benetos,,Cichlidae,demersal,8.1 SL,2.3,native,Malawi
Maylandia callainos,,Cichlidae,benthopelagic,8.0 SL,2.3,native,Malawi
Maylandia chrysomallos,,Cichlidae,demersal,9.0 SL,2.2,endemic,Malawi
Maylandia cyneusmarginata,,Cichlidae,demersal,8.0 SL,2.3,native,Malawi
Maylandia emmiltos,,Cichlidae,demersal,8.4 SL,2.3,native,Malawi
Maylandia estherae,Red zebra,Cichlidae,demersal,7.9 SL,2,native,Malawi
Maylandia fainzilberi,,Cichlidae,demersal,12.9 TL,2.2,endemic,Malawi
Maylandia flavicauda,,Cichlidae,benthopelagic,10.1 SL,2.2,endemic,Malawi
Maylandia flavifemina,,Cichlidae,benthopelagic,8.5 SL,2.3,endemic,Malawi
Maylandia glaucos,,Cichlidae,benthopelagic,6.9 SL,2.3,endemic,Malawi
Maylandia greshakei,William's mbuna,Cichlidae,demersal,13.4 TL,2,endemic,Malawi
Maylandia hajomaylandi,,Cichlidae,demersal,12.0 TL,3.4,endemic,Malawi
Maylandia koningsi,,Cichlidae,benthopelagic,5.7 SL,2.4,endemic,Malawi
Maylandia lanisticola,,Cichlidae,demersal,6.1 SL,2.4,endemic,Malawi
Maylandia lombardoi,,Cichlidae,demersal,8.7 SL,2.7,endemic,Malawi
Maylandia lundoensis,,Cichlidae,pelagic,8.3 SL,2.3,endemic,Malawi
Maylandia mbenjii,,Cichlidae,demersal,8.8 SL,2.2,native,Malawi
Maylandia midomo,,Cichlidae,pelagic,9.8 SL,2.2,endemic,Malawi
Maylandia mossambica,,Cichlidae,benthopelagic,8.0 SL,2.3,endemic,Malawi
Maylandia nigrodorsalis,,Cichlidae,pelagic,8.3 SL,2.3,endemic,Malawi
Maylandia nkhunguensis,,Cichlidae,benthopelagic,7.3 SL,2.3,endemic,Malawi
Maylandia pambazuko,,Cichlidae,pelagic,7.6 SL,2.3,endemic,Malawi
Maylandia phaeos,,Cichlidae,demersal,8.7 SL,2.2,native,Malawi
Maylandia pulpican,,Cichlidae,benthopelagic,7.1 SL,2.3,endemic,Malawi
Maylandia pyrsonotos,,Cichlidae,demersal,8.6 SL,2.2,endemic,Malawi
Maylandia sciasma,,Cichlidae,benthopelagic,7.1 SL,2.3,endemic,Malawi
Maylandia tarakiki,,Cichlidae,pelagic,11.9 SL,2.1,endemic,Malawi
Maylandia usisyae,,Cichlidae,benthopelagic,7.5 SL,2.3,endemic,Malawi
Maylandia xanstomachus,,Cichlidae,demersal,12.5 TL,2,endemic,Malawi
Maylandia xanthos,,Cichlidae,benthopelagic,4.9 SL,2.5,endemic,Malawi
Maylandia zebra,Zebra mbuna,Cichlidae,demersal,11.3 SL,2.3,endemic,Malawi
Mchenga conophoros,,Cichlidae,benthopelagic,11.1 SL,3.4,endemic,Malawi
Mchenga cyclicos,,Cichlidae,benthopelagic,12.1 SL,3.4,endemic,Malawi
Mchenga eucinostomus,,Cichlidae,benthopelagic,14.0 TL,3,endemic,Malawi
Mchenga flavimanus,,Cichlidae,benthopelagic,12.0 TL,3.4,endemic,Malawi
Mchenga inornata,,Cichlidae,benthopelagic,10.0 TL,3.4,endemic,Malawi
Mchenga thinos,,Cichlidae,benthopelagic,7.8 SL,3.4,endemic,Malawi
Melanochromis auratus,Golden mbuna,Cichlidae,demersal,11.0 TL,2,endemic,Malawi
Melanochromis baliodigma,,Cichlidae,benthopelagic,8.6 SL,4.3,endemic,Malawi
Melanochromis chipokae,,Cichlidae,demersal,12.0 SL,4.2,endemic,Malawi
Melanochromis dialeptos,,Cichlidae,benthopelagic,8.0 SL,2,endemic,Malawi
Melanochromis heterochromis,,Cichlidae,demersal,9.7 SL,3.3,endemic,Malawi
Melanochromis kaskazini,,Cichlidae,benthopelagic,10.4 SL,3.4,endemic,Malawi
Melanochromis lepidiadaptes,,Cichlidae,benthopelagic,8.7 SL,4.4,endemic,Malawi
Melanochromis loriae,,Cichlidae,benthopelagic,11.4 SL,3.4,endemic,Malawi
Melanochromis melanopterus,,Cichlidae,demersal,11.4 SL,3.4,endemic,Malawi
Melanochromis mossambiquensis,,Cichlidae,benthopelagic,7.6 SL,3.3,endemic,Malawi
Melanochromis mpoto,,Cichlidae,benthopelagic,9.1 SL,3.3,endemic,Malawi
Melanochromis robustus,,Cichlidae,benthopelagic,12.4 SL,3.4,endemic,Malawi
Melanochromis simulans,,Cichlidae,demersal,7.4 SL,3.3,endemic,Malawi
Melanochromis vermivorus,Purple mbuna,Cichlidae,demersal,7.4 SL,2.7,endemic,Malawi
Melanochromis wochepa,,Cichlidae,benthopelagic,6.5 SL,3.3,endemic,Malawi
Mylochromis anaphyrmus,,Cichlidae,demersal,20.4 TL,3.5,endemic,Malawi
Mylochromis balteatus,,Cichlidae,demersal,16.2 TL,3.5,endemic,Malawi
Mylochromis chekopae,,Cichlidae,demersal,12.2 SL,3,endemic,Malawi
Mylochromis ensatus,,Cichlidae,demersal,20.7 SL,3.6,endemic,Malawi
Mylochromis epichorialis,,Cichlidae,demersal,20.0 TL,3.5,endemic,Malawi
Mylochromis ericotaenia,,Cichlidae,demersal,20.6 TL,3.5,endemic,Malawi
Mylochromis formosus,,Cichlidae,benthopelagic,12.7 TL,4,endemic,Malawi
Mylochromis gracilis,Haplochromis torpedo stripe,Cichlidae,demersal,22.0 TL,4,endemic,Malawi
Mylochromis guentheri,,Cichlidae,demersal,20.0 TL,3.5,endemic,Malawi
Mylochromis incola,Golden mola hap,Cichlidae,demersal,19.9 TL,3.5,endemic,Malawi
