Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent
Labeo,cylindricus,Cyprinidae,benthopelagic,25,SL,2,native,Tanganyika,Africa
Labeo,degeni,Cyprinidae,benthopelagic,68,SL,2,misidentification,Tanganyika,Africa
Labeo,dhonti,Cyprinidae,benthopelagic,11.5,TL,2.5,native,Tanganyika,Africa
Labeo,fuelleborni,Cyprinidae,benthopelagic,43,TL,2.2,questionable,Tanganyika,Africa
Labeo,kibimbi,Cyprinidae,benthopelagic,47,SL,2.1,native,Tanganyika,Africa
Labeo,lineatus,Cyprinidae,benthopelagic,78,TL,2,misidentification,Tanganyika,Africa
Labeo,longipinnis,Cyprinidae,benthopelagic,26,SL,2.3,misidentification,Tanganyika,Africa
Labeo,simpsoni,Cyprinidae,benthopelagic,22,SL,2.3,questionable,Tanganyika,Africa
Labeo,weeksii,Cyprinidae,benthopelagic,29,TL,2.3,questionable,Tanganyika,Africa
Labeobarbus,altianalis,Cyprinidae,benthopelagic,90,TL,3.4,native,Tanganyika,Africa
Labeobarbus,caudovittatus,Cyprinidae,benthopelagic,80,TL,3.3,native,Tanganyika,Africa
Labeobarbus,leleupanus,Cyprinidae,benthopelagic,22,SL,3.2,native,Tanganyika,Africa
Labeobarbus,platyrhinus,Cyprinidae,benthopelagic,40,SL,3.2,endemic,Tanganyika,Africa
Labeobarbus,pojeri,Cyprinidae,benthopelagic,18,TL,3.2,endemic,Tanganyika,Africa
Labeobarbus,tropidolepis,Cyprinidae,benthopelagic,85,SL,3.3,endemic,Tanganyika,Africa
Chelaethiops,congicus,Danionidae,benthopelagic,11,TL,3.3,native,Tanganyika,Africa
Chelaethiops,minutus,Danionidae,benthopelagic,11,SL,3.3,endemic,Tanganyika,Africa
Engraulicypris,spinifer,Danionidae,benthopelagic,5,SL,3,native,Tanganyika,Africa
Opsaridium,ubangiense,Danionidae,benthopelagic,12,TL,3.3,native,Tanganyika,Africa
Raiamas,marqueti,Danionidae,benthopelagic,19.7,SL,3.4,native,Tanganyika,Africa
Raiamas,moorii,Danionidae,benthopelagic,22,TL,3.3,native,Tanganyika,Africa
Raiamas,salmolucius,Danionidae,benthopelagic,16.4,SL,3.3,misidentification,Tanganyika,Africa
Distichodus,fasciolatus,Distichodontidae,pelagic,60,TL,2,questionable,Tanganyika,Africa
Distichodus,sexfasciatus,Distichodontidae,pelagic,76,SL,2.8,native,Tanganyika,Africa
Limnothrissa,miodon,Dorosomatidae,pelagic,17,SL,3.1,endemic,Tanganyika,Africa
Stolothrissa,tanganicae,Dorosomatidae,pelagic,10,SL,2.7,endemic,Tanganyika,Africa
Kneria,rukwaensis,Kneriidae,demersal,6.2,SL,2.1,native,Tanganyika,Africa
Kneria,wittei,Kneriidae,benthopelagic,8.6,SL,2,native,Tanganyika,Africa
Lates,angustifrons,Latidae,demersal,200,SL,4.5,native,Tanganyika,Africa
Lates,mariae,Latidae,demersal,80,TL,4.2,native,Tanganyika,Africa
Lates,microlepis,Latidae,pelagic,93,TL,4.3,native,Tanganyika,Africa
Lates,stappersii,Latidae,demersal,45,SL,4.3,endemic,Tanganyika,Africa
Malapterurus,tanganyikaensis,Malapteruridae,benthopelagic,49.5,SL,3.5,native,Tanganyika,Africa
Mastacembelus,albomaculatus,Mastacembelidae,demersal,22,TL,3.7,endemic,Tanganyika,Africa
Mastacembelus,apectoralis,Mastacembelidae,benthopelagic,16.3,SL,3.6,endemic,Tanganyika,Africa
Mastacembelus,cunningtoni,Mastacembelidae,benthopelagic,58,TL,4.2,endemic,Tanganyika,Africa
Mastacembelus,ellipsifer,Mastacembelidae,benthopelagic,45,TL,3.8,endemic,Tanganyika,Africa
Mastacembelus,flavidus,Mastacembelidae,benthopelagic,27,TL,3.7,endemic,Tanganyika,Africa
Mastacembelus,frenatus,Mastacembelidae,demersal,40,SL,3.9,native,Tanganyika,Africa
Mastacembelus,micropectus,Mastacembelidae,demersal,17.6,SL,3.7,endemic,Tanganyika,Africa
Mastacembelus,moorii,Mastacembelidae,demersal,44,TL,4.2,endemic,Tanganyika,Africa
Mastacembelus,ophidium,Mastacembelidae,demersal,33,TL,3.8,endemic,Tanganyika,Africa
Mastacembelus,plagiostomus,Mastacembelidae,demersal,30,SL,3.8,endemic,Tanganyika,Africa
Mastacembelus,platysoma,Mastacembelidae,benthopelagic,16,SL,3.6,endemic,Tanganyika,Africa
Mastacembelus,polli,Mastacembelidae,demersal,14,SL,3.6,endemic,Tanganyika,Africa
Mastacembelus,reygeli,Mastacembelidae,benthopelagic,25.4,SL,3.8,endemic,Tanganyika,Africa
Mastacembelus,tanganicae,Mastacembelidae,demersal,19,SL,3.7,endemic,Tanganyika,Africa
Mastacembelus,zebratus,Mastacembelidae,demersal,19,SL,3.7,endemic,Tanganyika,Africa
Chiloglanis,asymetricaudalis,Mochokidae,benthopelagic,7.6,SL,2.6,native,Tanganyika,Africa
Chiloglanis,kalambo,Mochokidae,benthopelagic,4.4,TL,3.1,endemic,Tanganyika,Africa
Chiloglanis,kazumbei,Mochokidae,benthopelagic,5.4,SL,3.2,native,Tanganyika,Africa
Chiloglanis,lukugae,Mochokidae,benthopelagic,9,SL,3.2,questionable,Tanganyika,Africa
Chiloglanis,micropogon,Mochokidae,benthopelagic,4.9,TL,3.1,native,Tanganyika,Africa
Chiloglanis,pojeri,Mochokidae,benthopelagic,7,TL,3.2,native,Tanganyika,Africa
Chiloglanis,productus,Mochokidae,benthopelagic,4.9,SL,3.1,endemic,Tanganyika,Africa
Synodontis,decorus,Mochokidae,benthopelagic,31.8,TL,2.9,native,Tanganyika,Africa
Synodontis,dhonti,Mochokidae,benthopelagic,32.5,SL,2.8,endemic,Tanganyika,Africa
Synodontis,grandiops,Mochokidae,demersal,11.1,SL,2.9,endemic,Tanganyika,Africa
Synodontis,granulosus,Mochokidae,benthopelagic,27,TL,2.9,endemic,Tanganyika,Africa
Synodontis,ilebrevis,Mochokidae,demersal,13.6,SL,2.9,endemic,Tanganyika,Africa
Synodontis,irsacae,Mochokidae,demersal,15.7,SL,2.9,endemic,Tanganyika,Africa
